13,"mod1a","a22b2d65h40","med",3,6,7,10,22,42,67,51,48,36,38,41,32,33,20,22,23,17,15,11,9,11,20,21,19,8,9,6,20,19,17
14,"mod1a","a22b2d65h40","med",3,7,10,21,42,72,47,57,56,64,41,38,46,38,28,28,21,14,14,5,5,12,13,17,19,1,6,13,8,7,10
15,"mod1a","a22b2d65h40","med",3,7,8,17,24,43,24,30,28,42,26,36,45,38,33,30,26,20,26,21,17,14,14,8,6,13,15,12,18,22,12
16,"mod1a","a22b2d65h40","med",3,4,5,10,15,26,47,27,42,44,42,40,42,40,36,40,31,34,23,26,21,11,16,8,8,17,21,27,3,8,4
17,"mod1a","a22b2d65h40","med",3,5,1,7,20,40,54,34,44,57,44,38,36,52,34,39,29,32,20,25,12,12,4,4,16,9,10,14,10,14,12
18,"mod1a","a22b2d65h40","med",3,6,8,13,27,37,21,26,27,29,23,22,25,29,24,23,34,27,24,21,21,27,15,13,13,16,6,5,19,24,20
19,"mod1a","a22b2d65h40","med",3,7,8,24,40,49,46,48,44,53,45,43,39,31,25,16,18,16,12,9,10,18,17,15,7,6,12,16,7,7,14
20,"mod1a","a22b2d65h40","med",3,2,4,8,15,29,50,38,47,44,44,46,40,40,29,31,22,20,15,12,14,10,7,21,28,26,6,9,6,4,11
1,"mod1a","a22b2d80h40","str",3,5,18,20,31,12,15,15,16,11,3,12,36,48,13,16,14,13,12,9,30,34,9,8,3,7,16,19,26,7,6
2,"mod1a","a22b2d80h40","str",3,2,5,9,16,29,56,20,31,26,21,17,17,11,9,4,25,40,42,11,16,14,9,11,21,29,10,8,5,9,14
3,"mod1a","a22b2d80h40","str",3,2,9,13,25,41,16,24,25,19,13,16,9,13,45,62,27,23,17,13,8,5,26,29,29,9,12,5,4,18,19
4,"mod1a","a22b2d80h40","str",3,3,7,15,31,56,20,18,23,18,14,9,10,5,30,27,9,8,16,7,25,35,7,8,6,7,15,19,17,4,5
5,"mod1a","a22b2d80h40","str",3,2,5,10,15,28,40,17,17,14,11,11,12,37,52,17,20,30,18,10,14,5,4,11,26,28,7,7,11,6,16
6,"mod1a","a22b2d80h40","str",3,3,8,23,26,49,23,19,22,19,22,16,9,14,7,36,52,13,15,13,12,4,20,26,34,8,9,5,9,8,16
7,"mod1a","a22b2d80h40","str",3,5,7,14,33,49,14,15,14,17,4,9,32,33,11,19,20,8,7,11,30,40,10,15,7,6,24,30,33,3,8
8,"mod1a","a22b2d80h40","str",3,6,12,19,36,56,20,18,20,15,12,7,9,44,58,12,18,14,10,7,11,19,22,19,6,2,3,15,9,14,12
9,"mod1a","a22b2d80h40","str",3,3,1,6,10,15,31,61,20,15,14,11,12,53,60,22,21,24,19,11,13,6,4,16,18,28,31,8,4,10,5
10,"mod1a","a22b2d80h40","str",3,2,5,13,21,31,60,20,26,24,21,15,17,15,11,7,10,30,28,8,4,7,25,32,33,14,10,10,7,20,28
11,"mod1a","a22b2d80h40","str",3,3,2,6,12,23,48,16,24,12,9,12,9,33,45,12,6,19,14,26,39,16,9,11,10,23,29,7,7,2,8
12,"mod1a","a22b2d80h40","str",3,4,5,10,18,32,57,19,26,24,22,13,13,11,8,29,37,6,7,16,7,22,31,6,10,8,5,18,21,30,6
13,"mod1a","a22b2d80h40","str",3,6,7,10,22,42,67,27,27,21,24,11,10,9,9,29,37,7,10,11,7,22,25,44,9,11,8,7,26,24,1
14,"mod1a","a22b2d80h40","str",3,7,10,21,42,72,25,36,24,28,11,24,9,16,6,5,20,22,31,9,9,4,5,13,11,17,13,4,2,13,19
15,"mod1a","a22b2d80h40","str",3,7,8,17,24,43,12,20,13,14,6,11,38,55,13,13,13,17,49,13,15,10,8,25,41,16,6,15,5,20,17
16,"mod1a","a22b2d80h40","str",3,4,5,10,15,26,47,19,24,23,15,16,14,13,7,6,36,39,8,18,17,17,5,10,31,34,11,4,8,10,20
17,"mod1a","a22b2d80h40","str",3,5,1,7,20,40,54,21,29,28,20,15,15,18,10,9,9,32,37,14,5,9,10,19,20,21,2,3,2,11,15
18,"mod1a","a22b2d80h40","str",3,6,8,13,27,37,8,15,11,10,33,45,16,23,18,21,12,15,10,11,45,40,14,9,10,9,26,28,10,5,0
19,"mod1a","a22b2d80h40","str",3,7,8,24,40,49,24,24,22,22,17,13,9,5,32,36,11,7,10,6,20,31,24,4,7,9,31,21,10,4,9
20,"mod1a","a22b2d80h40","str",3,2,4,8,15,29,50,16,19,21,28,10,11,15,9,31,47,11,8,12,9,27,37,11,7,9,8,15,21,23,6
1,"mod1b","a22b2d10h40","weak",3,5,18,20,31,30,44,52,64,66,56,59,75,54,47,40,29,34,18,15,13,13,9,4,8,6,7,7,7,5,4
2,"mod1b","a22b2d10h40","weak",3,2,5,9,16,29,56,53,77,89,82,87,79,64,55,55,28,20,16,8,5,4,2,4,2,3,2,1,0,0,1
3,"mod1b","a22b2d10h40","weak",3,2,9,13,25,41,46,57,53,60,62,64,73,67,78,48,42,26,17,25,15,8,8,6,10,10,4,5,4,0,2
4,"mod1b","a22b2d10h40","weak",3,3,7,15,31,56,52,76,84,79,73,64,66,55,45,31,24,22,11,10,4,4,6,1,4,3,6,4,1,0,2
5,"mod1b","a22b2d10h40","weak",3,2,5,10,15,28,40,33,39,60,61,62,72,77,73,61,53,50,40,27,20,10,11,6,3,3,5,6,2,0,1
6,"mod1b","a22b2d10h40","weak",3,3,8,23,26,49,48,60,79,69,79,85,80,46,42,36,33,8,11,11,9,3,6,6,2,2,4,0,1,0,2
7,"mod1b","a22b2d10h40","weak",3,5,7,14,33,49,35,52,53,67,64,57,74,60,66,34,43,18,19,14,15,15,6,5,8,8,2,3,3,0,0
8,"mod1b","a22b2d10h40","weak",3,6,12,19,36,56,49,64,52,65,61,64,65,62,56,45,32,36,23,10,13,5,4,3,2,0,3,0,0,0,0
9,"mod1b","a22b2d10h40","weak",3,3,1,6,10,15,31,61,40,47,66,71,57,65,69,60,52,55,31,29,20,13,12,7,6,7,7,3,6,8,5
10,"mod1b","a22b2d10h40","weak",3,2,5,13,21,31,60,52,62,78,82,83,76,63,49,41,32,21,24,14,10,8,3,10,8,2,1,4,2,0,1
11,"mod1b","a22b2d10h40","weak",3,3,2,6,12,23,48,45,55,69,79,67,63,65,61,47,45,33,23,19,9,9,10,5,4,3,8,3,1,3,3
12,"mod1b","a22b2d10h40","weak",3,4,5,10,18,32,57,38,61,73,85,78,72,80,57,45,42,32,17,12,13,6,2,8,3,3,2,6,0,1,0
13,"mod1b","a22b2d10h40","weak",3,6,7,10,22,42,67,77,80,70,86,87,65,55,46,36,24,14,13,10,7,7,6,8,7,3,3,3,3,0,1
14,"mod1b","a22b2d10h40","weak",3,7,10,21,42,72,65,83,81,88,76,61,58,46,37,31,23,21,11,7,7,11,4,1,5,0,1,1,0,0,0
15,"mod1b","a22b2d10h40","weak",3,7,8,17,24,43,36,45,44,61,65,67,61,62,53,52,46,34,34,23,16,20,10,7,4,7,7,5,8,3,5
16,"mod1b","a22b2d10h40","weak",3,4,5,10,15,26,47,43,63,65,77,77,75,70,61,54,32,38,25,14,13,13,9,7,5,11,6,3,4,4,3
17,"mod1b","a22b2d10h40","weak",3,5,1,7,20,40,54,53,65,84,69,87,82,49,49,34,38,24,20,17,6,7,7,8,5,2,4,4,1,0,2
18,"mod1b","a22b2d10h40","weak",3,6,8,13,27,37,43,55,49,54,57,59,68,65,64,47,42,32,22,18,16,12,16,1,4,6,9,2,5,2,3
19,"mod1b","a22b2d10h40","weak",3,7,8,24,40,49,64,73,86,76,63,85,62,55,44,28,19,19,12,9,2,12,5,2,2,3,3,5,1,2,1
20,"mod1b","a22b2d10h40","weak",3,2,4,8,15,29,50,57,73,81,85,83,68,63,57,45,25,31,27,14,9,8,8,3,5,4,3,4,4,1,1
1,"mod1b","a22b2d15h40","med",3,5,18,20,31,19,30,29,38,31,27,36,27,27,31,30,27,19,23,15,27,15,13,15,10,8,21,14,20,5,9
2,"mod1b","a22b2d15h40","med",3,2,5,9,16,29,56,40,58,66,48,58,58,62,40,41,21,18,17,7,5,12,11,8,10,7,11,8,9,11,10
3,"mod1b","a22b2d15h40","med",3,2,9,13,25,41,37,42,40,41,37,33,37,38,33,24,20,32,25,16,20,13,11,11,8,10,14,16,14,19,14
4,"mod1b","a22b2d15h40","med",3,3,7,15,31,56,38,48,50,49,45,49,46,34,33,25,17,18,16,9,9,6,14,13,11,17,12,6,21,17,16
5,"mod1b","a22b2d15h40","med",3,2,5,10,15,28,40,23,29,35,28,39,35,36,37,40,36,43,43,30,32,28,25,17,12,9,9,17,10,14,15
6,"mod1b","a22b2d15h40","med",3,3,8,23,26,49,36,42,49,45,34,51,34,31,31,26,24,25,18,17,7,6,14,14,17,14,6,2,6,4,7
7,"mod1b","a22b2d15h40","med",3,5,7,14,33,49,27,33,30,42,32,36,30,28,20,27,36,37,27,27,17,14,20,16,4,7,15,10,16,15,2
8,"mod1b","a22b2d15h40","med",3,6,12,19,36,56,36,41,38,35,36,34,48,25,41,35,21,27,21,17,8,11,6,21,25,21,5,12,10,9,9
9,"mod1b","a22b2d15h40","med",3,3,1,6,10,15,31,61,32,40,44,29,28,38,39,30,38,30,33,24,26,25,14,9,9,6,9,10,12,18,19
10,"mod1b","a22b2d15h40","med",3,2,5,13,21,31,60,40,43,49,50,41,34,35,38,33,25,23,26,14,14,9,10,13,10,12,8,8,7,15,16
11,"mod1b","a22b2d15h40","med",3,3,2,6,12,23,48,32,45,41,47,41,36,34,32,27,22,19,17,20,15,13,7,8,19,20,17,11,14,8,6
12,"mod1b","a22b2d15h40","med",3,4,5,10,18,32,57,28,41,41,65,40,47,40,39,34,24,24,26,11,10,9,10,13,16,20,23,7,7,7,12
13,"mod1b","a22b2d15h40","med",3,6,7,10,22,42,67,56,51,48,42,54,47,36,29,30,28,25,18,12,12,5,8,21,12,19,7,7,8,11,8
14,"mod1b","a22b2d15h40","med",3,7,10,21,42,72,51,55,55,57,39,33,44,43,26,27,17,13,16,6,6,12,12,10,7,15,14,13,15,6,7
15,"mod1b","a22b2d15h40","med",3,7,8,17,24,43,27,32,30,44,32,35,29,36,30,36,21,33,24,15,23,13,14,14,11,2,13,15,17,17,9
16,"mod1b","a22b2d15h40","med",3,4,5,10,15,26,47,33,49,42,46,36,48,38,43,40,35,31,23,22,16,16,14,13,3,9,14,8,13,8,10
17,"mod1b","a22b2d15h40","med",3,5,1,7,20,40,54,38,37,47,44,44,40,49,39,36,24,27,20,18,15,17,9,13,6,13,16,12,15,9,5
18,"mod1b","a22b2d15h40","med",3,6,8,13,27,37,25,30,27,26,27,30,24,36,30,33,34,28,26,16,18,20,13,8,7,11,24,21,9,9,12
19,"mod1b","a22b2d15h40","med",3,7,8,24,40,49,42,55,51,54,48,55,49,40,34,22,21,18,14,12,9,6,14,11,10,8,9,8,8,4,15
20,"mod1b","a22b2d15h40","med",3,2,4,8,15,29,50,45,44,50,59,41,33,47,37,35,28,24,23,14,14,11,9,19,17,20,8,9,5,15,9
1,"mod1b","a22b2d20h40","str",3,5,18,20,31,17,17,22,25,20,17,17,18,11,11,8,30,42,11,15,14,9,27,35,7,11,12,11,17,20,23
2,"mod1b","a22b2d20h40","str",3,2,5,9,16,29,56,27,37,36,26,28,28,23,21,13,8,11,5,14,19,34,44,8,15,12,13,16,26,11,6
3,"mod1b","a22b2d20h40","str",3,2,9,13,25,41,24,27,27,22,15,23,16,17,14,9,15,35,51,15,24,19,18,15,13,10,8,14,15,34,18
4,"mod1b","a22b2d20h40","str",3,3,7,15,31,56,25,27,24,23,20,14,18,14,15,5,8,23,25,39,19,19,15,15,6,8,23,28,29,8,4
5,"mod1b","a22b2d20h40","str",3,2,5,10,15,28,40,16,16,16,20,19,20,16,13,22,17,16,12,13,11,6,23,38,40,18,14,10,10,5,24
6,"mod1b","a22b2d20h40","str",3,3,8,23,26,49,31,33,36,36,29,33,17,20,14,10,5,7,11,17,23,34,10,12,5,7,22,27,32,13,13
7,"mod1b","a22b2d20h40","str",3,5,7,14,33,49,16,25,19,20,12,20,15,10,11,17,49,46,22,21,22,15,10,16,6,3,13,17,25,32,18
8,"mod1b","a22b2d20h40","str",3,6,12,19,36,56,25,27,29,21,21,18,16,19,14,10,13,9,28,40,19,13,8,9,20,25,37,10,15,7,11
9,"mod1b","a22b2d20h40","str",3,3,1,6,10,15,31,61,26,32,28,26,18,17,15,17,16,9,7,12,20,25,39,7,13,14,19,27,14,13,11
10,"mod1b","a22b2d20h40","str",3,2,5,13,21,31,60,31,33,35,30,24,20,21,22,12,12,9,8,21,26,30,10,5,10,12,14,14,19,28,9
11,"mod1b","a22b2d20h40","str",3,3,2,6,12,23,48,24,33,22,22,21,16,13,9,6,21,38,50,13,22,17,14,9,9,35,28,15,15,16,9
12,"mod1b","a22b2d20h40","str",3,4,5,10,18,32,57,25,29,38,35,21,25,16,26,14,15,9,3,25,32,35,10,18,14,7,14,20,25,5,9
13,"mod1b","a22b2d20h40","str",3,6,7,10,22,42,67,44,40,28,25,23,19,17,13,12,14,11,22,36,16,12,6,10,21,27,30,10,11,7,3
14,"mod1b","a22b2d20h40","str",3,7,10,21,42,72,39,42,32,46,25,25,24,22,17,14,12,8,9,20,23,28,14,8,9,16,26,17,11,2,4
15,"mod1b","a22b2d20h40","str",3,7,8,17,24,43,16,20,21,15,16,12,18,10,13,31,12,18,13,15,10,8,25,39,20,13,24,11,9,15,8
16,"mod1b","a22b2d20h40","str",3,4,5,10,15,26,47,23,42,34,23,23,27,28,18,22,16,18,8,7,16,18,32,14,12,14,7,14,25,17,7
