pop,x,y,status,inftime,rem_time
1,261.3726358585364,199.6059061429237,2,14,17
1,288.2478259233741,255.8214774630361,2,18,21
1,112.91583641099747,229.72635899048984,2,8,11
1,145.46640562814466,108.35335320801612,2,3,6
1,138.36370404583033,103.70949546558317,2,4,7
1,165.6627016059586,103.5796032263307,2,23,26
1,258.8961235104605,167.62050522614902,2,16,19
1,249.3739917595011,192.65917893508788,2,14,17
1,160.64487854342377,256.271457480425,2,32,35
1,266.5690832491198,235.70966412913023,2,10,13
1,148.2042163461923,217.92273417576524,0,0,0
1,127.29673142443754,205.39611062087766,2,9,12
1,205.0304300119195,180.39843021247935,2,17,20
1,187.62937133903455,103.60744720558648,2,16,19
1,222.19624315215887,299.6954188361002,2,22,25
1,263.73957928648736,133.8537069076735,2,9,12
1,170.97464046098492,199.6453867286632,2,6,9
1,147.46551411411718,181.53972966432633,2,3,6
1,124.94060070603086,105.39700585865603,2,8,11
1,252.63836636611458,235.2452700502178,2,21,24
1,258.1091493931624,143.42085462221746,2,44,47
1,277.47609846728915,291.7823431984475,0,0,0
1,225.4580616171687,136.87693125432833,2,24,27
1,126.25824822392204,190.5368522643084,2,1,4
1,126.58821865347336,139.9956971568015,2,4,7
1,106.43518545106072,218.98049589527096,2,12,15
1,158.5164338394506,261.6527387126513,2,3,6
1,299.8055070556263,292.7704601208472,2,24,27
1,295.83445026617215,191.3719448623317,2,6,9
1,275.737649126424,224.825496060284,1,51,54
1,256.73520310120296,232.1313596531985,2,16,19
1,207.75571546784892,267.28710535487653,2,37,40
1,203.86501742579213,135.58125588570763,0,0,0
1,113.06454870753122,174.85168724335063,2,8,11
1,291.76020763874357,240.56512641820075,0,0,0
1,282.69309663386883,281.4118633276307,2,16,19
1,267.57931622389174,105.86763108839922,2,30,33
1,209.33672104190845,227.42510262687338,2,33,36
1,275.18064867859175,270.20803311296123,0,0,0
1,199.35701822140965,200.18298873559996,2,9,12
1,161.04256244782695,258.37561680156523,2,35,38
1,183.15145107934208,119.17797890423938,0,0,0
1,199.34638249501148,215.44895497770457,2,21,24
1,114.55952179138436,274.62733554422994,0,0,0
1,104.29518861226252,115.94942881997903,2,18,21
1,229.1395772613636,273.29659572982166,0,0,0
1,118.28993832787995,115.17213055997036,2,13,16
1,292.9722414149568,256.0193671067849,0,0,0
1,114.15486130454524,228.5405052430472,2,9,12
1,178.7134922359491,148.00228819584635,2,13,16
1,176.30808273609813,185.89577639260153,0,0,0
1,273.56535977029165,220.75374091647654,2,16,19
1,211.54334953610868,198.6574564994416,2,5,8
1,192.90064380955445,240.57444470399102,2,44,47
1,199.89717577539744,130.43688671500348,2,14,17
1,290.0735568971676,224.13868951126273,0,0,0
1,159.20151705633322,274.01738288605947,2,42,45
1,208.40458806889038,154.8471162053738,2,24,27
1,108.97203638838735,201.65465693345217,2,11,14
1,228.5543317806247,202.23639290522763,2,31,34
1,192.1666712028566,119.20986368477352,2,18,21
1,198.45825615171037,140.65638948251683,2,10,13
1,216.80037364420926,168.47476430825475,2,8,11
1,171.23248201100648,176.78381487069475,1,51,54
1,143.43223201834877,132.11072664996448,2,5,8
1,132.5991219191439,271.51987724508365,1,50,53
1,294.2028639210014,225.09093697723722,2,12,15
1,176.2852653944946,244.58246799170752,2,40,43
1,165.9131187221068,174.51057241381935,2,8,11
1,241.46164559950768,109.84045595073597,2,17,20
1,246.04066060364465,102.55085837011855,0,0,0
1,159.14611469696518,109.56688081386916,2,8,11
1,256.3813624874309,230.32547441229315,2,13,16
1,270.5351659337356,107.13613941836905,2,28,31
1,142.17911550341805,139.28183897788193,2,5,8
1,225.4740906284482,200.0728542429626,2,7,10
1,140.80392921229992,247.57718659131928,2,21,24
1,264.0036125378806,177.1690837428772,2,14,17
1,159.46660005332768,107.39421659505048,2,8,11
1,144.5563551506677,179.94933937161318,2,4,7
1,241.5288605947086,164.4539972290816,2,8,11
1,185.13807786991683,209.3896111459282,2,3,6
1,219.8009333973973,238.16109654556982,2,23,26
1,222.74675074856822,143.04677732962347,2,27,30
1,189.41415675033082,143.975381694016,0,0,0
1,178.55909923368762,228.12344627865528,1,49,52
1,217.27300967884742,101.93476054841749,2,19,22
1,158.6841991230485,149.3208017150763,2,7,10
1,222.38626612808878,183.0083294559157,2,7,10
1,178.17849985931826,260.90896438774246,2,31,34
1,258.28719536590603,171.43871608589328,2,13,16
1,298.0403970521031,150.28903906938646,0,0,0
1,279.718565914952,139.59218722079456,0,0,0
1,188.90186201326947,294.63886522848384,2,18,21
1,200.74384508590708,277.9497419377497,2,26,29
1,238.1216794792031,155.25781999390045,2,8,11
1,283.5289570676798,246.99585239601868,2,33,36
1,218.0270711333504,212.21092691080176,2,19,22
1,127.82897571707252,230.41657941943583,1,51,54
1,236.47328283360082,198.90232259041954,2,14,17
1,274.5862103622684,264.62513582229235,2,30,33
1,146.8276772121369,270.8178038879521,2,44,47
1,191.3972282799831,124.53225597167075,0,0,0
1,299.8182409372952,140.9925448032991,0,0,0
1,171.68021608074076,207.52583573138554,2,9,12
1,124.2018307875994,209.44733901469334,0,0,0
1,184.35189069787228,106.47506013954018,0,0,0
1,253.37649260213882,239.55177985694885,2,24,27
1,221.69860030318188,281.82371829162,2,38,41
1,125.49970879903651,169.14557695024388,2,10,13
1,133.05428023186676,188.36237766505053,0,0,0
1,186.3446693776367,170.96483996779355,2,14,17
1,129.5402516955158,231.98274549124557,0,0,0
1,189.46360722929643,201.8965774371825,2,9,12
1,163.6374697421267,181.19804206066271,2,9,12
1,265.99940915426885,181.41621513752494,2,20,23
1,246.4842942999413,252.65267332607618,2,19,22
1,144.3895431379375,246.7123625648583,2,19,22
1,197.66624300084624,104.43145166973429,2,8,11
1,159.5977998820386,201.04504107967688,0,0,0
1,220.51770023246507,117.64645033554365,2,34,37
1,233.25627981163007,247.44405606064313,0,0,0
1,149.2279235034474,183.23706891422273,2,8,11
1,287.6704866182981,118.7295217348566,0,0,0
1,170.01150479598607,281.82720806918655,2,14,17
1,190.6038207692105,260.3527133734923,2,11,14
1,123.98459016408964,294.13797042619274,2,25,28
1,232.46376632854373,110.75361354012414,2,28,31
1,236.84423595982338,223.89311246000102,0,0,0
1,277.0130377097164,251.74377204332276,2,31,34
1,116.53391723200848,139.75322394294608,2,5,8
1,118.00608000584003,284.0816512938991,2,14,17
1,272.34361567528117,164.5311338525835,2,34,37
1,208.92168286823772,173.0034880611739,2,32,35
1,220.76586941505303,113.76681125314758,2,32,35
1,255.22949461474352,292.3496481198581,2,45,48
1,230.18891921255008,293.5471992512157,0,0,0
1,257.38929202482865,296.1827540927597,0,0,0
1,267.99899977573745,276.9837570156558,1,49,52
1,127.57011898466914,134.61513401894626,2,5,8
1,267.54946915151424,121.50864737580054,2,16,19
1,181.66643871377505,192.569017815365,2,3,6
1,128.47156806717328,143.58017037412668,2,3,6
1,109.46728662433347,108.16206373139055,2,22,25
1,248.67552927946235,142.90684803261578,2,16,19
1,210.87357860364375,117.0230505568105,2,22,25
1,192.78334573093548,165.89571736215225,0,0,0
1,297.9616916801331,179.35287523174455,2,4,7
1,138.3497669190579,236.80944132517138,0,0,0
1,132.80722463645014,123.68629945574409,2,6,9
1,262.4642055350049,206.92505403582993,2,15,18
1,176.15980365631734,164.13380439841728,2,42,45
1,227.5770155559224,179.76285686501032,2,17,20
1,144.45352433121258,111.4283436525998,2,4,7
1,266.4014180159303,159.74882710945323,2,32,35
1,133.61655010804975,224.75816654286763,2,12,15
1,294.87578853036666,197.50633986184846,0,0,0
1,188.35891856124675,298.59639806467874,1,51,54
1,137.2524199277544,134.9574051343975,2,12,15
1,265.2621131860886,219.30423881156742,2,13,16
1,228.00160859001625,165.16549410248552,2,16,19
1,145.8698263409118,248.73047050895522,2,15,18
1,110.2976202977308,185.13582802280837,2,4,7
1,105.83376368327906,228.42652547013375,0,0,0
1,267.087832192453,285.24094883801587,2,18,21
1,112.13445625688385,269.24007220153624,0,0,0
1,226.9207537045962,184.46431073485053,2,9,12
1,290.94687844283646,229.56961491950204,0,0,0
1,100.59010780709485,139.7409055364298,2,40,43
1,240.0667609780414,262.6937339279629,2,11,14
1,270.10638885339534,290.9013773224351,2,14,17
1,234.87955768385888,138.28578327347125,2,6,9
1,199.170965286434,295.06100564312646,0,0,0
1,261.0918072619793,121.74546368958823,2,27,30
1,104.18639022225784,101.02656260342098,0,0,0
1,289.08767060335504,205.14018484226668,2,23,26
1,256.6534923045681,145.39192583560782,2,41,44
1,141.04580626498816,193.11637166134386,0,0,0
1,182.1423984985139,299.1165692008953,2,39,42
1,211.23037697477213,114.34264644551129,2,16,19
