beta,1.9117016054626477,1.8309992410883815,2.0001513917860847,mod2a,mod2a,a24b2d005,7
delta1,0.005109345429077274,0.00414808902893708,0.0061103912698392635,mod2a,mod2a,a24b2d005,7
alpha,1.5357754112891142,1.0615193793871647,2.038566413411505,mod1a,mod1a,a22b2d50h40,2
beta,1.8468746947610906,1.7533540764459232,1.9375842926017046,mod1a,mod1a,a22b2d50h40,2
delta1,0.41318595327413943,0.3071747505193315,0.516258101350391,mod1a,mod1a,a22b2d50h40,2
delta2,41.85097320511743,30.173948213853702,53.051866504668574,mod1a,mod1a,a22b2d50h40,2
alpha,1.9152505461396125,1.2332005762912757,2.6274709626715658,mod3a,mod3a,a24b2d80d02,7
beta,1.8961557298362646,1.80962167321105,1.9880358808883902,mod3a,mod3a,a24b2d80d02,7
delta1,0.8336453616181444,0.6768166860775013,0.9994901421713293,mod3a,mod3a,a24b2d80d02,7
delta2,0.01552670283168196,0.007631754773565664,0.02710086228334098,mod3a,mod3a,a24b2d80d02,7
alpha,2.3494851583992493,1.525472374721538,3.1787267541445208,mod3a,mod3a,a24b2d80d02,5
beta,1.9535788562038232,1.8665725207764907,2.0408610724425245,mod3a,mod3a,a24b2d80d02,5
delta1,0.8141646395144281,0.6669631911788221,0.9996082140766862,mod3a,mod3a,a24b2d80d02,5
delta2,0.01588220112814263,0.006985312138241191,0.027876735684473616,mod3a,mod3a,a24b2d80d02,5
alpha,2.4548093791975023,1.8259027231201344,3.119770100387733,mod1a,mod1a,a22b2d80h40,10
beta,1.970241675573641,1.8856528053334163,2.057651884121433,mod1a,mod1a,a22b2d80h40,10
delta1,0.7699778782625959,0.7297560986421755,0.8068720210803056,mod1a,mod1a,a22b2d80h40,10
delta2,41.496238316570334,40.086733487549104,42.93074680183223,mod1a,mod1a,a22b2d80h40,10
alpha,2.0280979644554122,1.3235195481428148,2.859830596092842,mod3a,mod3a,a24b2d80d02,17
beta,1.9013523474110134,1.8090222063695756,1.9941087629249783,mod3a,mod3a,a24b2d80d02,17
delta1,0.8075442185203172,0.665849405587747,0.9990422752032976,mod3a,mod3a,a24b2d80d02,17
delta2,0.016470982474426965,0.006932744578674452,0.029779993072451483,mod3a,mod3a,a24b2d80d02,17
alpha,1.951842504666924,1.3994694143033117,2.550440023313013,mod1a,mod1a,a22b2d50h40,4
beta,1.895728398648774,1.806542914265238,1.9845230081161185,mod1a,mod1a,a22b2d50h40,4
delta1,0.48511078240801725,0.392594051207746,0.5699409008138608,mod1a,mod1a,a22b2d50h40,4
delta2,46.30693839578816,40.00542973951711,52.45996225806117,mod1a,mod1a,a22b2d50h40,4
alpha,1.884222118839342,1.3384086692362804,2.4583623553940397,mod1a,mod1a,a22b2d50h40,6
beta,1.9162898499489558,1.8321721440600631,2.0038760116715295,mod1a,mod1a,a22b2d50h40,6
delta1,0.41442352148761263,0.30797230553916466,0.5159999128250627,mod1a,mod1a,a22b2d50h40,6
delta2,42.27689915989485,34.9873065499231,55.04995020409178,mod1a,mod1a,a22b2d50h40,6
alpha,2.119835650805526,1.4615911409459204,2.7882780172651085,mod1a,mod1a,a22b2d65h40,1
beta,1.9475307750126165,1.8567368843579948,2.037952291106129,mod1a,mod1a,a22b2d65h40,1
delta1,0.59465077498835,0.5161320286589944,0.6704390593783913,mod1a,mod1a,a22b2d65h40,1
delta2,40.50492080730765,40.00060192026483,40.95015771258034,mod1a,mod1a,a22b2d65h40,1
alpha,1.9655985383378627,1.3713827365090512,2.5769956380232077,mod1a,mod1a,a22b2d65h40,18
beta,1.8830368328285658,1.7955494523064455,1.9728106474331775,mod1a,mod1a,a22b2d65h40,18
delta1,0.6458805580976195,0.5804381539696349,0.7093007511473952,mod1a,mod1a,a22b2d65h40,18
delta2,38.009251987131734,35.15452802132917,40.84230582904628,mod1a,mod1a,a22b2d65h40,18
alpha,1.7662869857557533,1.21563211111386,2.3766483273113326,mod1a,mod1a,a22b2d80h40,19
beta,1.8770578669284672,1.7730487424867096,1.9777585007660452,mod1a,mod1a,a22b2d80h40,19
delta1,0.7647998105861238,0.7228549098751085,0.8040070769508959,mod1a,mod1a,a22b2d80h40,19
delta2,42.50199374605405,39.317610646514154,45.95539553316181,mod1a,mod1a,a22b2d80h40,19
alpha,1.9898053408563197,1.3836297114364384,2.6509392486269387,mod1a,mod1a,a22b2d50h40,20
beta,1.9364414059706954,1.8433891329120862,2.0268641257385327,mod1a,mod1a,a22b2d50h40,20
delta1,0.40577451183643753,0.293495503778087,0.5143741163355527,mod1a,mod1a,a22b2d50h40,20
delta2,43.03166540532006,35.054142244306,51.95876964208204,mod1a,mod1a,a22b2d50h40,20
alpha,1.864239893138201,1.325598988641189,2.409677517444981,mod1a,mod1a,a22b2d50h40,14
